     1→     1→// ══════════════════════════════════════════════════════════════════
     2→     2→// MIANX.AI — Development Seed Data
     3→     3→// Run: bun run src/database/seeds/seed.ts
     4→     4→// ══════════════════════════════════════════════════════════════════
     5→     5→
     6→     6→import { PrismaClient } from '@prisma/client'
     7→     7→
     8→     8→const prisma = new PrismaClient()
     9→     9→
    10→    10→async function main() {
   791→   791→    prisma.poultrySale.create({ data: { organizationId: poultryOrgId, customerId: customers[0].id, date: new Date(Date.now() - 2 * 86400000), items: JSON.stringify([{ product: 'Live Broiler', qty_kg: 500, rate_per_kg: 450 }]), totalAmount: 225000, currency: 'PKR', status: 'completed' } }),
   792→   792→    prisma.poultrySale.create({ data: { organizationId: poultryOrgId, customerId: customers[1].id, date: new Date(Date.now() - 5 * 86400000), items: JSON.stringify([{ product: 'Eggs (Tray)', qty: 100, rate_per_tray: 850 }]), totalAmount: 85000, currency: 'PKR', status: 'completed' } }),
   793→   793→    prisma.poultrySale.create({ data: { organizationId: poultryOrgId, customerId: customers[2].id, date: new Date(Date.now() - 1 * 86400000), items: JSON.stringify([{ product: 'Live Broiler', qty_kg: 300, rate_per_kg: 460 }, { product: 'Eggs (Tray)', qty: 50, rate_per_tray: 850 }]), totalAmount: 178500, currency: 'PKR', status: 'completed' } }),
   794→   794→  ])
   795→   795→
   796→   796→  // ── Procurement ──
   797→   797→  await Promise.all([
   798→   798→    prisma.poultryProcurement.create({ data: { organizationId: poultryOrgId, type: 'feed', supplier: 'Pak Feeds Ltd', description: 'Broiler Starter Feed', quantity: 5000, unit: 'kg', unitCostUsd: 0.5, totalCostUsd: 2500, date: new Date(Date.now() - 10 * 86400000), status: 'received' } }),
   799→   799→    prisma.poultryProcurement.create({ data: { organizationId: poultryOrgId, type: 'medicine', supplier: 'VetPharma', description: 'Antibiotics (Enrofloxacin)', quantity: 50, unit: 'packs', unitCostUsd: 8, totalCostUsd: 400, date: new Date(Date.now() - 6 * 86400000), status: 'received' } }),
   800→   800→    prisma.poultryProcurement.create({ data: { organizationId: poultryOrgId, type: 'chick', supplier: 'Hub Hatchery', description: 'Cobb 500 day-old chicks', quantity: 10000, unit: 'birds', unitCostUsd: 0.4, totalCostUsd: 4000, date: new Date(Date.now() - 28 * 86400000), deliveryDate: new Date(Date.now() - 28 * 86400000), status: 'received' } }),
   801→   801→  ])
   802→   802→  console.log(`  ✓ Created Poultry business data: ${farms.length} farms, ${sheds.length} sheds, ${flocks.length} flocks, ${customers.length} customers`)
   803→   803→
   804→   804→  console.log('\n✅ Seed complete! Summary:')
   805→   805→  console.log(`   Organizations: ${orgs.length}`)
   806→   806→  console.log(`   Profiles: ${profiles.length}`)
   807→   807→  console.log(`   Memberships: ${memberships.length}`)
   808→   808→  console.log(`   Roles: ${roles.length}`)
   809→   809→  console.log(`   Permissions: ${permissions.length}`)
   810→   810→  console.log(`   Domains: ${domains.length}`)
   811→   811→  console.log(`   Modules: ${poultryModules.length + restaurantModules.length + retailModules.length}`)
   812→   812→  console.log(`   Org-Domains: ${orgDomains.length}`)
   813→   813→  console.log(`   Org-Modules: ${orgModules.length}`)
   814→   814→  console.log(`   Teams: ${teams.length}`)
   815→   815→  console.log(`   Agent Configs: ${agentConfigs.length}`)
   816→   816→  console.log(`   Conversations: ${sampleConvos.length}`)
   817→   817→  console.log(`   Events: ${sampleEvents.length}`)
   818→   818→  console.log(`   Workflows: ${sampleWorkflows.length}`)
   819→   819→  console.log(`   Jobs: 2`)
   820→   820→  console.log(`   API Keys: 1`)
   821→   821→  console.log(`   Webhooks: 1`)
   822→   822→  console.log(`   OAuth Connections: 1`)
   823→   823→  console.log(`   Plans: 3`)
   824→   824→  console.log(`   Plan Versions: ${planVersions.length}`)
   825→   825→  console.log(`   Features: ${billingFeatures.length}`)
   826→   826→  console.log(`   Usage Meters: ${usageMeters.length}`)
   827→   827→  console.log(`   Subscriptions: 1`)
   828→   828→  console.log(`   Usage Records: 3`)
   829→   829→  console.log(`   Invoices: 1`)
   830→   830→}
   831→   831→
   832→   832→main()
   833→   833→  .catch(console.error)
   834→   834→  .finally(() => prisma.$disconnect())
   835→   835→
